,S.no,zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,daysOnZillow,zestimate,rentZestimate,taxAssessedValue,lotAreaValue,lotAreaUnit,Bedrooms,Bathrooms,Full_bathrooms,Flooring,Heating_features,Cooling_features,Appliances_included,Laundry_features,Total_structure_area,Total_interior_livable_area,Fireplace_features,Parking_features,Stories,Pool_features,Lot_features,Home_type,Architectural_style,Property_subType,Roof,Year_built,Sewer_information,Water_information,Region,Interior_features,Total_number_of_fireplaces,Total_spaces,Garage_spaces,Covered_spaces,Livability,Crime,Employment,Housing,Schools
569,530,18436901,42 Copperfield Ln,94506,Danville,CA,37.79524,-121.92286,925000,3,3,1884,TOWNHOUSE,-1,925005,4284,385662,1742.4,sqft,3,3,2, Hardwood, Forced Air, Zoned," Electric Range, Disposal, Gas Water Heater"," 220 Volt Outlet, Laundry Room",1884," 1,884 sqft"," Brick, Living Room", Attached,2," None, Community", Level, Townhouse, Contemporary, Townhouse,,1992, Public Sewer,, Danville," Breakfast Nook, Counter - Solid Surface, Eat-in Kitchen",1,2,2,2,80,B,A+,C+,A-
570,531,18453617,1111 River Rock Ln,94526,Danville,CA,37.820797,-121.99411,1349000,3,3,1544,SINGLE_FAMILY,-1,1349000,3769,1019642,2178,sqft,3,3,2," Concrete, Laminate, Vinyl, Carpet", Forced Air, Central Air," Dishwasher, Disposal, Range, Refrigerator"," Laundry Closet, In Unit",1544," 1,544 sqft", Living Room," Attached, Garage, Int Access From Garage, Off Street, Guest, Enclosed, Garage Faces Front, Garage Door Opener",2," In Ground, Fenced, Pool House, Community"," Corner Lot, Level", SingleFamily, Craftsman, Single Family Residence, Shingle,1996, Public Sewer, Public, Danville," Tile Counters, Pantry",1,2,2,2,80,B,A+,C+,A-
571,532,18459189,2005 Rancho Verde Cir E,94526,Danville,CA,37.785255,-121.96414,1600000,2,4,1948,SINGLE_FAMILY,-1,1600000,4294,116382,5227.2,sqft,4,2,2, Carpet," Forced Air, Natural Gas", Central Air," Dishwasher, Electric Range, Disposal, Plumbed For Ice Maker, Microwave, Refrigerator, Dryer, Washer, Gas Water Heater"," Dryer, Laundry Room, Washer",1948," 1,948 sqft"," Brick, Gas Starter, Wood Burning"," Attached, Int Access From Garage, Off Street, Garage Door Opener",1," None, Community"," Corner Lot, Premium Lot, Secluded, Zero Lot Line, Front Yard, Landscape Back, Landscape Front, Street Light(s)", SingleFamily," Ranch,Traditional", Single Family Residence, Shingle,1977, Public Sewer, Public, Danville," Atrium, Breakfast Nook, Tile Counters",1,4,2,2,80,B,A+,C+,A-
572,533,72556343,10 Ross Ct,94526,Danville,CA,37.81838,-121.970924,2998000,5,6,3660,SINGLE_FAMILY,-1,2998010,7426,1885806,0.31,acres,6,5,4," Hardwood Flrs Throughout, Carpet", Zoned, Zoned," Dishwasher, Double Oven, Disposal, Gas Range, Microwave, Oven, Refrigerator"," Laundry Room, Other, Cabinets, See Remarks, Sink",3660," 3,660 sqft"," Family Room, Living Room, See Remarks"," Attached, RV/Boat Parking, Other, Electric Vehicle Charging Station(s), See Remarks, Garage Door Opener",2," Possible Pool Site, Solar Pool Owned"," Corner Lot, Cul-De-Sac, Level, Premium Lot, Other, Front Yard, Landscape Back, Landscape Front, See Remarks, Storm Drain", SingleFamily, Contemporary, Single Family Residence, Shingle,2006, Public Sewer, Public, Danville," Dining Area, Kitchen/Family Combo, Breakfast Bar, Breakfast Nook, Counter - Solid Surface, Eat-in Kitchen, Kitchen Island, Pantry, Updated Kitchen",3,3,3,3,80,B,A+,C+,A-
573,534,18434935,3098 Deer Meadow Dr,94506,Danville,CA,37.822205,-121.91885,2380000,4,4,2706,SINGLE_FAMILY,-1,2380012,6612,1596862,0.29,acres,4,4,2," Hardwood, Tile, Carpet", Zoned, Zoned," Double Oven, Disposal, Refrigerator", Laundry Room,2706," 2,706 sqft"," Family Room, Living Room"," Attached, Electric Vehicle Charging Station(s), Garage Faces Front, Garage Door Opener",2," Cabana, In Ground, Pool/Spa Combo, Outdoor Pool"," Level, Premium Lot, Front Yard", SingleFamily, Traditional, Single Family Residence,,1984, Public Sewer, Public, Danville," Kitchen/Family Combo, Breakfast Bar, Stone Counters, Updated Kitchen, Wet Bar, Smart Thermostat",2,3,3,3,80,B,A+,C+,A-
574,535,18454221,796 Contada Cir,94526,Danville,CA,37.82165,-121.986374,1599888,2,3,1598,SINGLE_FAMILY,-1,1599888,5000,1130000,7840.8,sqft,3,2,2, Laminate, Forced Air, Central Air," Dishwasher, Disposal, Gas Range, Microwave, Oven, Refrigerator, Gas Water Heater, Tankless Water Heater", Hookups Only,1598," 1,598 sqft", Electric, Attached,1," Other, Community", Regular, SingleFamily, Other, Single Family Residence, Shingle,1976, Public Sewer, Public, Danville," Stone Counters, Updated Kitchen",1,4,2,2,80,B,A+,C+,A-
575,536,18431808,13 Mary Ct,94526,Danville,CA,37.821327,-122.00345,1795000,2,4,1772,SINGLE_FAMILY,-1,1795000,4463,445271,7596.864,sqft,4,2,2,, Central Forced Air, Central Air," Dishwasher, Disposal, Microwave, Oven Range, Trash Compactor", Inside,1772," 1,772 sqft"," Gas Log, Living Room", Attached,1,, Low Maintenance, SingleFamily,," Residential, Single Family Residence", Composition,1950, Public Sewer, Public, Danville,,1,2,2,2,80,B,A+,C+,A-
576,537,18437415,45 Lily Ct,94506,Danville,CA,37.79932,-121.89903,1449000,2,3,1738,SINGLE_FAMILY,-1,1494200,4414,659117,6534,sqft,3,2,2, Hardwood, Forced Air, Central Air," Dishwasher, Gas Range, Plumbed For Ice Maker, Microwave, Refrigerator, Self Cleaning Oven, Dryer, Washer, Gas Water Heater"," Dryer, Laundry Room, Washer",1738," 1,738 sqft", Family Room," Attached, Garage Door Opener",1, None," Court, Cul-De-Sac, Level, Premium Lot, Regular", SingleFamily, Traditional, Single Family Residence,,2000, Public Sewer, Public, Danville," Dining Area, Kitchen/Family Combo, Breakfast Nook, Tile Counters, Kitchen Island, Pantry, Updated Kitchen",1,2,2,2,80,B,A+,C+,A-
577,538,18452699,150 Arends Dr,94506,Danville,CA,37.829674,-121.946304,2450000,4,4,3383,SINGLE_FAMILY,-1,2450000,6519,994223,0.43,acres,4,4,3," Hardwood, Tile, Vinyl, Carpet", Zoned, Zoned," Dishwasher, Double Oven, Electric Range, Disposal, Oven, Gas Water Heater", Laundry Room,3383," 3,383 sqft"," Family Room, Living Room"," Attached, Int Access From Garage, RV/Boat Parking, Side Yard Access, Garage Door Opener",2," In Ground, Pool/Spa Combo, Pool House", Level, SingleFamily, Contemporary, Single Family Residence, Shingle,1984, Public Sewer,, Danville," Dining Area, Kitchen/Family Combo, Breakfast Nook, Counter - Solid Surface, Eat-in Kitchen, Kitchen Island, Updated Kitchen",2,3,3,3,80,B,A+,C+,A-
578,539,18459153,2117 Presidio Ct,94526,Danville,CA,37.784164,-121.962494,1125000,2,2,1364,TOWNHOUSE,-1,1125000,3622,360844,3484.8,sqft,2,2,2," Laminate, Tile, Carpet", Floor Furnace, Central Air," Dishwasher, Electric Range, Disposal, Free-Standing Range, Refrigerator, Gas Water Heater"," Hookups Only, Laundry Room, Cabinets",1364," 1,364 sqft", Living Room, Attached,1," None, Community"," Adj To/On Golf Course, Court, Landscape Back", Townhouse, Traditional, Townhouse,,1979, Public Sewer,, Danville," Atrium, Breakfast Nook, Stone Counters, Eat-in Kitchen, Pantry, Updated Kitchen",1,2,2,2,80,B,A+,C+,A-
579,540,18460864,4388 Mansfield Dr,94506,Danville,CA,37.805843,-121.904854,2249800,3,4,3488,SINGLE_FAMILY,-1,2249800,6484,694299,0.26,acres,4,3,3," Hardwood, Tile, Carpet"," Zoned, Fireplace(s)"," Ceiling Fan(s), Zoned"," Dishwasher, Electric Range, Disposal, Plumbed For Ice Maker, Microwave, Oven, Refrigerator, Self Cleaning Oven, Trash Compactor, Gas Water Heater"," Dryer, Laundry Room, Washer, Cabinets",3488," 3,488 sqft"," Brick, Family Room, Gas, Living Room, Raised Hearth, Two-Way"," Attached, Int Access From Garage, Side Yard Access, Garage Door Opener",2," Possible Pool Site, None"," Court, Cul-De-Sac, Premium Lot, Front Yard, Landscape Back, Paved, Pool Site", SingleFamily, Traditional, Single Family Residence,,1993, Public Sewer, Public, Danville," Kitchen/Family Combo, Breakfast Nook, Counter - Solid Surface, Tile Counters, Eat-in Kitchen, Kitchen Island, Pantry, Wet Bar",3,3,3,3,80,B,A+,C+,A-
580,541,50918337,250 Piedmont Ln,94526,Danville,CA,37.844368,-121.99801,4690000,7,5,6224,SINGLE_FAMILY,-1,4626500,13368,3390299,1.96,acres,5,7,5," Hardwood, Tile, Carpet"," Zoned, Fireplace(s)", Zoned," Dishwasher, Double Oven, Disposal, Gas Range, Grill Built-in, Microwave, Refrigerator, Gas Water Heater"," 220 Volt Outlet, Laundry Closet, Laundry Room, Cabinets, See Remarks, Sink, Upper Level",6224," 6,224 sqft"," Family Room, Gas Starter, Living Room, Stone"," Attached, Int Access From Garage, Side Yard Access, Tandem, Guest, Electric Vehicle Charging Station(s), Garage Door Opener",2," Gas Heat, In Ground, Pool/Spa Combo"," Horses Possible, Premium Lot, Secluded, Front Yard, Landscape Back, Landscape Front, Private", SingleFamily," Craftsman,Custom", Single Family Residence, Shingle,2001, Public Sewer, Public, Danville," Bonus/Plus Room, Dining Area, Storage, Breakfast Bar, Breakfast Nook, Counter - Solid Surface, Stone Counters, Eat-in Kitchen, Kitchen Island, Pantry, Updated Kitchen, Wet Bar, Central Vacuum, Sound System",3,5,5,5,80,B,A+,C+,A-
581,542,18437376,16 Casolyn Ranch Ct,94506,Danville,CA,37.79324,-121.900375,2575000,4,5,3263,SINGLE_FAMILY,-1,2575000,5000,1490044,0.52,acres,5,4,3,, Zoned, Zoned," Indoor Grill, Dishwasher, Disposal, Double Oven, Range Hood, Microwave, Dryer, Washer"," Cabinets, Ground Floor, Inside Room, Sink",3263," 3,263 sqft",," Attached, Enclosed, Garage Door Opener, Garage Faces Front, Interior Access, Side by Side, On Site (Single Family Only)",2," In Ground, Pool/Spa Combo"," Auto Sprinkler F&R, Cul-De-Sac, Garden, Landscaped, Landscape Front", SingleFamily, Mediterranean, Single Family Residence, Tile,1998, Public Sewer, Public, Danville," Cathedral Ceiling(s), Formal Entry",,3,,,80,B,A+,C+,A-
582,543,18437026,1021 Dunhill Ct,94506,Danville,CA,37.793407,-121.91326,1995000,2,4,2222,SINGLE_FAMILY,-1,1995000,4755,562644,6969.6,sqft,4,2,2," Concrete, Carpet, Engineered Wood"," Forced Air, Fireplace(s)"," Ceiling Fan(s), Central Air"," Dishwasher, Double Oven, Disposal, Gas Range, Microwave, Oven, Range, Refrigerator", Laundry Room,2222," 2,222 sqft"," Family Room, Gas, Gas Starter"," Attached, Electric Vehicle Charging Station(s), Garage Door Opener",1," None, Community", Premium Lot, SingleFamily, Contemporary, Single Family Residence,,1994, Public Sewer, Public, Danville," Breakfast Nook, Stone Counters, Pantry, Updated Kitchen, Sound System",1,2,2,2,80,B,A+,C+,A-
583,544,18428474,198 Verde Mesa Dr,94526,Danville,CA,37.842384,-121.97459,1249000,2,3,1680,SINGLE_FAMILY,-1,1249009,4529,85075,10018.8,sqft,3,2,2," Hardwood, Carpet"," Forced Air, Natural Gas", Central Air, Gas Water Heater, Other,1680," 1,680 sqft", Family Room," Attached, Off Street",1, None, Regular, SingleFamily, Ranch, Single Family Residence,,1956,, Other, Danville, Laminate Counters,1,2,2,2,80,B,A+,C+,A-
584,545,18433616,13 Stirling Dr,94526,Danville,CA,37.817417,-121.96857,2498880,5,5,4351,SINGLE_FAMILY,-1,2498890,7738,1446676,0.35,acres,5,5,4," Hardwood, Tile, Carpet", Zoned, Zoned," Dishwasher, Double Oven, Disposal, Gas Range, Microwave, Oven, Range, Refrigerator", Laundry Room,4351," 4,351 sqft"," Family Room, Living Room", Attached,2," In Ground, Outdoor Pool", Regular, SingleFamily, Traditional, Single Family Residence,,1989, Public Sewer, Public, Danville," Bonus/Plus Room, Tile Counters, Eat-in Kitchen, Pantry, Wet Bar",3,3,3,3,80,B,A+,C+,A-
585,546,18458044,1185 Mustang Dr,94526,Danville,CA,37.798756,-121.98258,2125000,2,3,1651,SINGLE_FAMILY,-1,2125000,6345,751164,7840.8,sqft,3,2,2," Laminate, Engineered Wood", Forced Air, Central Air," Dishwasher, Disposal, Gas Range, Plumbed For Ice Maker, Refrigerator, Self Cleaning Oven"," 220 Volt Outlet, Dryer, In Garage, Washer, Cabinets",1651," 1,651 sqft"," Electric, Insert, Living Room"," Attached, Garage Door Opener",1," None, Community"," Corner Lot, Level, Premium Lot, Curb(s), Front Yard, Landscape Back, Landscape Front, Security Gate", SingleFamily, Ranch, Single Family Residence, Shingle,1976, Public Sewer, Public, Danville," Dining Area, Kitchen/Family Combo, Breakfast Bar, Stone Counters, Eat-in Kitchen, Kitchen Island, Updated Kitchen",1,2,2,2,80,B,A+,C+,A-
586,547,2062541257,"Residence 4 Plan, Melrose Neighborhood at Boulevard",94568,Dublin,CA,37.70997,-121.9063,1774480,3,4,3009,SINGLE_FAMILY,-1,1774480,5000,,0,,4,3,1,,,,,,3009," 3,009 sqft",,,,,, SingleFamily,,,,,,, Dublin,,,2,,,86,B+,A+,C,A+
587,548,331751771,5517 Gracen Way,94568,Dublin,CA,37.712673,-121.89555,1396998,4,5,2738,CONDO,-1,1328800,5200,1024048,7174.332,sqft,5,4,4," Laminate, Tile"," Central Forced Air - Gas, Individual Room Controls"," Central Air, Zoned, Whole House / Attic Fan"," Gas Cooktop, Dishwasher, Disposal, Range Hood, Microwave, Oven Range - Gas, Refrigerator"," Electricity Hookup (220V), Inside, Upper Floor",2738," 2,738 sqft",," Attached, Parking Restrictions, Electric Vehicle Hookup Level 2 (240 volts)",3, Community, Low Maintenance, Condo,," Residential, Condominium", Composition,2019, Community Sewer / Septic, Public, Dublin, Walk-In Closet(s),,2,2,2,86,B+,A+,C,A+
588,549,25063328,7720 Donohue Dr,94568,Dublin,CA,37.71239,-121.93362,1199999,2,3,1116,SINGLE_FAMILY,-1,1074600,3528,839905,6534,sqft,3,2,2, Laminate, Forced Air, Central Air," Dishwasher, Electric Range, Disposal, Refrigerator, Dryer, Washer"," Dryer, In Garage, Washer",1116," 1,116 sqft"," Electric, Insert, Living Room"," Attached, Garage, Guest",1, None," Level, Regular, Front Yard", SingleFamily, Contemporary, Single Family Residence, Shingle,1960, Public Sewer, Public, Dublin," Dining Area, Stone Counters, Updated Kitchen",1,2,2,2,86,B+,A+,C,A+
589,550,2062541259,"Residence 2 Plan, Melrose Neighborhood at Boulevard",94568,Dublin,CA,37.70997,-121.9063,1471990,4,4,2376,SINGLE_FAMILY,-1,1471990,5000,,0,,4,4,1,,,,,,2376," 2,376 sqft",,,,,, SingleFamily,,,,,,, Dublin,,,2,,,86,B+,A+,C,A+
590,551,119592149,4793 N Spago Dr,94568,Dublin,CA,37.71835,-121.84403,1725000,3,3,2089,SINGLE_FAMILY,-1,1499300,4371,946042,3920.4,sqft,3,3,2," Hardwood, Tile, Carpet", Zoned, Central Air," Dishwasher, Disposal, Gas Range, Microwave, Oven, Self Cleaning Oven"," 220 Volt Outlet, Laundry Room",2089," 2,089 sqft", None, Attached,2, None, Regular, SingleFamily, Traditional, Single Family Residence,,2013, Public Sewer, Public, Dublin," Kitchen/Family Combo, Breakfast Nook, Stone Counters, Kitchen Island, Pantry, Updated Kitchen",,2,2,2,86,B+,A+,C,A+
591,552,241576543,7367 Diamond Mountain Rd,94568,Dublin,CA,37.7367,-121.87818,2549888,4,4,3627,SINGLE_FAMILY,-1,2066700,5387,1560600,4791.6,sqft,4,4,4," Tile, Carpet", Zoned, Zoned," Dishwasher, Disposal, Gas Range, Microwave, Oven, Refrigerator, Self Cleaning Oven, Dryer, Washer, Water Filter System, Gas Water Heater, Water Softener, Tankless Water Heater"," 220 Volt Outlet, Dryer, Laundry Room, Washer",3627," 3,627 sqft"," Family Room, Gas"," Attached, Garage, Guest, Side By Side, Garage Door Opener",2," None, Community"," Close to Clubhouse, Premium Lot, Front Yard", SingleFamily, Contemporary, Single Family Residence, Shingle,2017, Public Sewer, Public, Dublin," Bonus/Plus Room, Den, Dining Area, Media, Storage, Breakfast Bar, Counter - Solid Surface, Stone Counters, Eat-in Kitchen, Kitchen Island, Pantry, Updated Kitchen, Sound System",1,2,2,2,86,B+,A+,C,A+
592,553,25061896,7686 Arbor Creek Cir,94568,Dublin,CA,37.708206,-121.93917,769000,2,2,963,TOWNHOUSE,-1,833300,2942,747000,2178,sqft,2,2,1, Laminate, Forced Air, Central Air," Electric Range, Refrigerator, Gas Water Heater"," Inside, Washer/Dryer Stacked Incl",963, 963 sqft, None," Detached, Parking Spaces, Garage Door Opener",2," Other, Community", Regular, Townhouse, Contemporary, Townhouse, Shingle,1986, Public Sewer,, Dublin, Dining Area,,2,2,2,86,B+,A+,C,A+
593,554,25071164,8051 Crossridge Rd,94568,Dublin,CA,37.728924,-121.9138,1649000,3,5,2487,SINGLE_FAMILY,-1,1474000,4905,826951,5662.8,sqft,5,3,2," Hardwood, Carpet", Zoned, Central Air," Dishwasher, Disposal, Gas Range, Plumbed For Ice Maker, Microwave, Oven, Refrigerator, Self Cleaning Oven, Water Filter System, Gas Water Heater"," 220 Volt Outlet, Dryer, In Garage, Washer",2487," 2,487 sqft", Family Room," Attached, Garage Door Opener",2," Solar Heat, Solar Pool Owned", Other, SingleFamily, Craftsman, Single Family Residence, Shingle,1988, Public Sewer,, Dublin," Bonus/Plus Room, Breakfast Bar, Counter - Solid Surface, Stone Counters, Eat-in Kitchen, Kitchen Island, Pantry, Updated Kitchen, Sound System",1,2,2,2,86,B+,A+,C,A+
594,555,25088475,4101 Doak Ct,94568,Dublin,CA,37.71401,-121.87287,1399000,3,4,2009,SINGLE_FAMILY,-1,1405000,4250,649150,3484.8,sqft,4,3,2," Hardwood, Carpet", Forced Air, Central Air," Dishwasher, Gas Range, Grill Built-in, Microwave, Oven, Refrigerator, Dryer, Washer, Gas Water Heater"," 220 Volt Outlet, Dryer, Laundry Room, Washer",2009," 2,009 sqft", None," Attached, Int Access From Garage, Garage Door Opener",2," None, Community", Court, SingleFamily, Contemporary, Single Family Residence,,2000, Public Sewer, Public, Dublin," Dining Area, Breakfast Bar, Counter - Solid Surface, Tile Counters, Eat-in Kitchen, Kitchen Island, Pantry, Sound System",,2,2,2,86,B+,A+,C,A+
595,556,54790658,3307 Longmeadow Pl,94568,Dublin,CA,37.716824,-121.86192,1780000,3,4,2366,SINGLE_FAMILY,-1,1637900,4732,786484,5227.2,sqft,4,3,2," Laminate, Tile, Carpet", Forced Air, Zoned," Dishwasher, Gas Range, Microwave, Oven"," Hookups Only, Laundry Room, Upper Level",2366," 2,366 sqft"," Family Room, Gas Starter"," Attached, Tandem",2," None, Community", Court, SingleFamily, Traditional, Single Family Residence,,2000, Public Sewer, Public, Dublin, Tile Counters,1,3,3,3,86,B+,A+,C,A+
596,557,79532552,3420 Finnian Way UNIT 108,94568,Dublin,CA,37.70616,-121.863235,796643,3,2,1386,CONDO,-1,805500,3134,533770,0,sqft,2,3,2," Hardwood, Tile, Carpet", Forced Air, Central Air," Dishwasher, Gas Range, Plumbed For Ice Maker, Microwave, Free-Standing Range, Refrigerator, Self Cleaning Oven, Dryer, Washer"," Dryer, Gas Dryer Hookup, Washer, In Unit, Electric, Stacked Only, Washer/Dryer Stacked Incl",1386," 1,386 sqft", Living Room," Attached, Garage Door Opener",," In Ground, Other, Community", No Lot, Condo, Contemporary, Condominium,,2007, Public Sewer, Public, Dublin," Elevator, Dining Area, Storage, Breakfast Bar, Stone Counters",1,2,2,2,86,B+,A+,C,A+
597,558,82837470,3753 Central Pkwy,94568,Dublin,CA,37.71035,-121.86818,1159000,4,4,2383,CONDO,-1,1149400,4464,667211,0,sqft,4,4,2," Hardwood, Tile, Carpet", Zoned," Ceiling Fan(s), Zoned"," Dishwasher, Gas Range, Plumbed For Ice Maker, Microwave, Refrigerator, Self Cleaning Oven, Gas Water Heater"," Dryer, Laundry Closet, Washer",2383," 2,383 sqft"," Gas, Living Room"," Attached, Off Street, Guest, Garage Door Opener",," None, Community", No Lot, Condo, Contemporary, Condominium,,2007, Public Sewer, Public, Dublin," Stone Counters, Pantry, Updated Kitchen",1,2,2,2,86,B+,A+,C,A+
598,559,2062795411,"Residence 3 Plan, Boulevard : Venice",94568,Dublin,CA,37.7076,-121.8969,1285880,4,4,2773,TOWNHOUSE,-1,1285880,5000,,0,,4,4,3,,,,,,2773," 2,773 sqft",,,,,, Townhouse,,,,,,, Dublin,,,2,,,86,B+,A+,C,A+
599,560,25064927,7527 Frederiksen Ln,94568,Dublin,CA,37.715675,-121.92547,1199000,2,3,1053,SINGLE_FAMILY,-1,915200,3449,59145,6503.508,sqft,3,2,2, Other, Central Forced Air, Central Air," Gas Cooktop, Dishwasher, Exhaust Fan, Freezer, Disposal, Range Hood, Ice Maker, Refrigerator, Dryer, Washer"," Electricity Hookup (220V), In Garage",1053," 1,053 sqft", Wood Burning," Attached, Guest, Off Street, On Street, Open",1, None," Low Maintenance, Sprinklers - Lawn, City Lot", SingleFamily,," Residential, Single Family Residence"," Composition,Shingle",1964, Public Sewer, Public, Dublin,,1,2,2,2,86,B+,A+,C,A+
600,561,2062795412,"Residence 2 Plan, Boulevard : Venice",94568,Dublin,CA,37.7076,-121.8969,1199880,4,4,2302,TOWNHOUSE,-1,1199880,5000,,0,,4,4,3,,,,,,2302," 2,302 sqft",,,,,, Townhouse,,,,,,, Dublin,,,2,,,86,B+,A+,C,A+
601,562,2062799273,"Residence 2 Plan, Boulevard : Lombard",94568,Dublin,CA,37.7076,-121.8969,1488880,4,4,2466,TOWNHOUSE,-1,1488880,5000,,0,,4,4,4,,,,,,2466," 2,466 sqft",,,,,, Townhouse,,,,,,, Dublin,,,2,,,86,B+,A+,C,A+
602,563,2141721989,4599 Rimini Ct,94568,Dublin,CA,37.71111,-121.86417,1099000,3,3,1956,CONDO,-1,1076100,3967,,0,sqft,3,3,2," Hardwood, Tile, Carpet", Forced Air, Central Air," Dishwasher, Disposal, Gas Range, Microwave, Refrigerator, Tankless Water Heater", In Unit,1956," 1,956 sqft", Family Room," Attached, Garage, Int Access From Garage, Tandem, Garage Door Opener",2," In Ground, Community", No Lot, Condo, Contemporary, Condominium,,2007, Public Sewer, Public, Dublin," Dining Area, Kitchen/Family Combo, Breakfast Bar, Counter - Solid Surface",1,4,4,4,86,B+,A+,C,A+
603,564,2062541258,"Residence 1X Plan, Melrose Neighborhood at Boulevard",94568,Dublin,CA,37.70997,-121.9063,1675395,3,4,2681,SINGLE_FAMILY,-1,1675395,5000,,0,,4,3,1,,,,,,2681," 2,681 sqft",,,,,, SingleFamily,,,,,,, Dublin,,,2,,,86,B+,A+,C,A+
604,565,2062799272,"Residence 1 Plan, Boulevard : Lombard",94568,Dublin,CA,37.7076,-121.8969,1469880,3,4,2384,TOWNHOUSE,-1,1469880,5000,,0,,4,3,3,,,,,,2384," 2,384 sqft",,,,,, Townhouse,,,,,,, Dublin,,,2,,,86,B+,A+,C,A+
605,566,2064217819,"Residence 7 Plan, Boulevard : Skyline",94568,Dublin,CA,37.7076,-121.8969,968880,2,3,1706,TOWNHOUSE,-1,968880,5000,,0,,3,2,2,,,,,,1706," 1,706 sqft",,,,,, Townhouse,,,,,,, Dublin,,,2,,,86,B+,A+,C,A+
606,567,2062795413,"Residence 4 Plan, Boulevard : Lombard",94568,Dublin,CA,37.7076,-121.8969,1559880,4,5,2773,TOWNHOUSE,-1,1559880,5000,,0,,5,4,4,,,,,,2773," 2,773 sqft",,,,,, Townhouse,,,,,,, Dublin,,,2,,,86,B+,A+,C,A+
607,568,25062179,7919 Peppertree Rd,94568,Dublin,CA,37.71244,-121.94246,1449000,2,4,2016,SINGLE_FAMILY,-1,1425000,4205,103914,6969.6,sqft,4,2,2," Hardwood, Tile, Carpet", Forced Air, No Air Conditioning," Dishwasher, Electric Range, Disposal, Microwave", In Garage,2016," 2,016 sqft", Living Room," Attached, Int Access From Garage",2, None," Level, Front Yard, Landscape Back, Landscape Front", SingleFamily, Traditional, Single Family Residence, Shingle,1966, Public Sewer,, Dublin," Dining Area, Kitchen/Family Combo, Breakfast Bar, Pantry",1,2,2,2,86,B+,A+,C,A+
608,569,63085078,4271 Clarinbridge Cir,94568,Dublin,CA,37.706253,-121.866394,799000,3,2,1428,CONDO,-1,799000,3200,682230,0,sqft,2,3,2," Tile, Carpet", Forced Air," Ceiling Fan(s), Central Air"," Dishwasher, Gas Range, Microwave, Refrigerator, Dryer, Washer"," Dryer, Laundry Room, Washer, In Unit",1428," 1,428 sqft", Living Room," Attached, Space Per Unit - 2",3," Pool/Spa Combo, Community"," Regular, Landscape Front", Condo, Other, Condominium,,2004, Public Sewer,, Dublin," Dining Area, Breakfast Bar, Stone Counters",1,2,2,2,86,B+,A+,C,A+
609,570,82831675,3728 Aviano Way,94568,Dublin,CA,37.7113,-121.86806,1248000,4,3,2322,CONDO,-1,1226482,4500,891260,0,sqft,3,4,4," Hardwood, Tile, Carpet", Forced Air, Central Air," Dishwasher, Disposal, Gas Range, Microwave, Oven, Refrigerator, Trash Compactor, Dryer, Washer"," Dryer, Washer",2322," 2,322 sqft", Gas Starter, Attached,," In Ground, Community", Close to Clubhouse, Condo, Contemporary, Condominium,,2007, Public Sewer,, Dublin," Stone Counters, Kitchen Island",1,2,2,2,86,B+,A+,C,A+
610,571,82850076,3592 Rocking Horse Ct,94568,Dublin,CA,37.731167,-121.86599,1349000,3,4,2079,SINGLE_FAMILY,-1,1548200,4295,1025407,3049.2,sqft,4,3,2," Concrete, Laminate, Carpet", Zoned, Zoned," Dishwasher, Gas Range, Gas Water Heater"," 220 Volt Outlet, Laundry Room",2079," 2,079 sqft", Family Room," Attached, Garage Door Opener",2, None, Corner Lot, SingleFamily, Contemporary, Single Family Residence,,2007, Public Sewer, Public, Dublin," Breakfast Bar, Breakfast Nook, Stone Counters, Eat-in Kitchen",1,2,2,2,86,B+,A+,C,A+
611,572,2062799267,"Residence 1 Plan, Boulevard : Venice",94568,Dublin,CA,37.7076,-121.8969,1138880,4,3,2106,TOWNHOUSE,-1,1138880,5000,,0,,3,4,3,,,,,,2106," 2,106 sqft",,,,,, Townhouse,,,,,,, Dublin,,,2,,,86,B+,A+,C,A+
612,573,2064145977,"Residence 5 Plan, Boulevard : Skyline",94568,Dublin,CA,37.7076,-121.8969,1060880,3,3,1800,TOWNHOUSE,-1,1060880,5000,,0,,3,3,3,,,,,,1800," 1,800 sqft",,,,,, Townhouse,,,,,,, Dublin,,,2,,,86,B+,A+,C,A+
613,574,25087759,4621 Myrtle Dr,94568,Dublin,CA,37.70637,-121.881744,1479000,3,3,1768,SINGLE_FAMILY,-1,1305700,3884,789051,4361,sqft,3,3,3," Carpet, Tile"," Central, Fireplace(s)", Central Air," Free-Standing Gas Range, Gas Water Heater, Range Hood, Dishwasher, Disposal, Microwave"," Cabinets, Laundry Closet, Gas Dryer Hookup, Hookups Only",1768," 1,768 sqft"," Living Room, Other"," Garage Door Opener, Garage Faces Front, Driveway",2,," Manual Sprinkler F&R, Auto Sprinkler F&R, Corner Lot, Landscaped, Landscape Front, Low Maintenance", SingleFamily, Contemporary, Single Family Residence, Tile,1997," Public Sewer, Other"," Public, Other", Dublin,,1,2,2,2,86,B+,A+,C,A+
614,575,2062799274,"Residence 3 Plan, Boulevard : Lombard",94568,Dublin,CA,37.7076,-121.8969,1529880,4,5,2700,TOWNHOUSE,-1,1529880,5000,,0,,5,4,4,,,,,,2700," 2,700 sqft",,,,,, Townhouse,,,,,,, Dublin,,,2,,,86,B+,A+,C,A+
